1.682237074627153, -1.1204363582653514
8.97615116395616, -7.85360475605188
18.50935543258663, -20.212165491193275
29.72163170138583, -37.07146210614616
37.00605056733963, -50.565229547025126
45.96954143346227, -68.5597328677157
54.36806650876463, -88.80987925240953
63.329974837658085, -107.9311490802823
73.41706713650444, -125.921432301695
82.38688815154387, -139.40886959365713
90.79965606190893, -149.51811741371222
104.8241009869758, -164.11333076610623
119.97214734476637, -178.70432401922272
132.31435519520613, -191.05233450616942
145.77541686668184, -206.77642441538438
158.11287710543394, -222.50473442387744
169.88537155336593, -240.48868749637342
179.41224567307955, -257.35431426024314
188.93911979279306, -274.21994102411264
198.47074152419447, -287.7052682664361
209.68143525576448, -305.691331388571
222.02047803174577, -320.29287488988183
236.60514113594542, -336.01274469981917
247.82533009089042, -347.23820877886163
260.72775612046286, -360.7108757233514
270.2625429263224, -371.94266995131073
282.60475077676216, -384.2906804382574
290.45413543353624, -395.52880481513336
298.8653208066722, -406.7648191423705
